,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,lyrics
37,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164,41,29,-5,13,7,264,83,3,61,"Sweet love, sweet love Trapped in your love I've opened up, unsure I can trust My heart and I were buried in dust Free me, free us You're all I need When I'm holding you tight If you walk away I will suffer tonight I found a man I can trust And boy, I believe in us I am terrified to love for the first time Can you see that I'm bound in chains? I've finally found my way I am bound to you I am bound to you So much, so young I've faced on my own Walls I built up became my home I'm strong and I'm sure there's a fire in us Sweet love, so pure I catch my breath We're just one beating heart And I brace myself Please don't tear this apart I found a man I can trust And boy, I believe in us I am terrified to love for the first time Can't you see that I'm bound in chains? I've finally found my way I am bound to you I am bound to Suddenly the moment's here I embrace my fears All that I have been carrying all these years Do I risk it all? Come this far just to fall? Fall I can trust And, boy, I believe in us I am terrified to love for the first time Can you see that I'm bound in chains? And finally found my way I am bound to you I am, ooh I am I'm bound to you"
38,If I Had You,Adam Lambert,australian pop,2010,131,91,65,-4,37,79,228,1,11,59,"So, I got my boots on Got the right amount of leather And I'm doing me up With a black colored liner And I'm working my strut But I know it don't matter All we need in this world is some love There's a thin line 'Tween the dark side And the light side Baby, tonight It's a struggle Gotta rumble Tryin'a find it But if I had you That would be the only thing I'd ever need Yeah, if I had you The money, fame and fortune never could compete If I had you Life would be a party. It'd be ecstasy Yeah, if I had you Y-y-y-y-you y-y-y-y-y-you y-y-y-y-y-you If I had you From New York to LA getting high, rock-and-rolling Get a room trash it up 'til it's ten in the morning Girls in stripper heels, boys rolling in Maseratis What they need in this world is some love There's a thin line 'Tween the wild time And a flat-line Baby, tonight It's a struggle Gotta rumble Tryin'a find it But if I had you That would be the only thing I'd ever need Yeah, if I had you The money, fame and fortune never could compete If I had you Life would be a party. It'd be ecstasy Yeah, if I had you Y-y-y-y-you y-y-y-y-y-you y-y-y-y-y-you If I had— The flashing of the lights It might feel so good But I got you stuck on my mind Yeah The fashion and the stage It might get me high But it don't mean a thing tonight That would be the only thing I'd ever need Yeah, if I had you The money, fame and fortune never could compete If I had you Life would be a party. It'd be ecstasy Yeah, if I had you Y-y-y-y-you y-y-y-y-y-you y-y-y-y-y-you If I had you That would be the only thing I'd ever need Yeah, if I had you The money, fame and fortune never could compete (Never could compete with you) If I had you Life would be a party. It'd be ecstasy (It'd be ecstasy with you) Yeah, if I had you Y-y-y-y-you y-y-y-y-y-you y-y-y-y-y-you If I had you"
39,Rock That Body,The Black Eyed Peas,dance pop,2010,125,91,72,-6,43,84,269,2,10,59,"I wanna rock right now I wanna I wanna rock right now I wanna I wanna rock right now Now, now, rock right now I wanna I wanna rock right now I wanna I wanna rock right now I wanna I wanna rock right now I wanna da—I wanna dance in the lights I wanna ro—I wanna rock your body I wanna go, I wanna go for a ride Hop in the music and rock your body right Rock that body, come on come on rock that body Rock your body Rock that body, come on come on rock that body Rock that body, come on come on rock that body Rock your body Rock that body, come on come on rock that body! Let me see your body rock Shakin' from the bottom to the top Freak to what the DJ drop We be the ones to make it hot To make it hot Electric shock, energy like a billion watts Space be booming, the speakers pop Galactic, call me Mr. Spock We bumpin' in your parkin' lot! Parkin' lot When you comin' up in the spot Don't bring nothin' we call pink dot 'Cause we burning around the clock Hit the lights and then turn them off If you bring that don't make you stop Like the jungle we run the block No one rollin' the way we rock, way we rock! I wanna I wanna rock right now I wanna I wanna rock right now I wanna I wanna rock right now I wanna da—I wanna dance in the lights I wanna ro—I wanna rock yo body I wanna go, I wanna go for a ride Hop in the music and rock yo body right Rock that body, come on come on rock that body Rock that body Rock that body, come on come on rock that body Rock that body, come on come on rock that body Rock your body Rock that body, come on come on rock that body! Super fly ladies All of my superfly ladies All of my superfly ladies All of my superf—superfly ladies Yeah, you could be big boned Long as you feel like you're on You could be the model type Skinny with no appetite Short, stacked, black or white Long as you do what you like Body outta sight Body body outta sight She does the two step And the tongue drop She does the cabbage patch And the bus stop She like electro, she love hip-hop She like the reggae, she feel punk rock She like the samba and the mambo She like to break-dance and calypso Get a little crazy, get a little stupid Get a little crazy, little crazy, little crazy I wanna da—I wanna dance in the light I wanna ro—I wanna rock your body I wanna go, I wanna go for a ride Hop in the music and rock your body right Rock your body right Rock your body right Come on Rock that body, come on come on rock that body Rock that body, come on come on rock that body Go Let go Let go Let go I wanna I wanna rock right now! I wanna I wanna rock I wanna I wanna rock Let go I wanna I wanna rock I wanna I wanna rock Let go Let go I wanna I wanna rock right now! I wanna I wanna rock right now! I wanna I wanna rock right now! Now now, rock right now I wanna I wanna rock right now! I wanna I wanna rock right now! I wanna I wanna rock right now!"
40,Dog Days Are Over,Florence + The Machine,art pop,2010,150,81,50,-5,12,26,253,3,9,58,"Happiness hit her like a train on a track Coming towards her stuck still no turning back She hid around corners and she hid under beds She killed it with kisses and from it, she fled With every bubble, she sank with a drink And washed it away down the kitchen sink The dog days are over The dog days are done The horses are coming So you better run Run fast for your mother, run fast for your father Run for your children, for your sisters and brothers Leave all your love and your longing behind You can't carry it with you if you want to survive The dog days are over The dog days are done Can you hear the horses? 'Cause here they come And I never wanted anything from you Except everything you had and what was left after that too, oh Happiness hit her like a bullet in the back Struck from a great height by someone who should know better than that The dog days are over The dog days are done Can you hear the horses? 'Cause here they come Run fast for your mother, run fast for your father Run for your children, for your sisters and brothers Leave all your love and your longing behind You can't carry it with you if you want to survive The dog days are over The dog days are done Can you hear the horses? 'Cause here they come The dog days are over The dog days are done The horses are coming So you better run The dog days are over The dog days are done The horses are coming So you better run"
41,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,85,51,-4,12,72,185,47,27,58,"Oh oh, sometimes I get a good feeling, yeah I get a feeling that I never, never, never, never had before, no no And I just gotta tell you right now that I I believe, I really do believe that Something’s got a hold on me, yeah (oh, it must be love) Oohoh, something’s got a hold on me right now, child (oh, it must be love) Let me tell you now I got a feeling, I feel so strange Everything about me seems to have changed Step by step, I got a brand new walk I even sound sweeter when I talk I said, oh, oh, oh, oh I said baby Oh, it must be love (you know it must be love) Let me tell you know Something’s got a hold on me, yeah (oh, it must be love) Oohoh, something’s got a hold on me right now, child (oh, it must be love) Let me tell you now I never felt like this before Something’s got a hold on me that won’t let go I believe I’d die if I only could I sure feel strange, but it sure feels good I said, oh, oh, oh, oh I said baby Oh, it must be love (you know it must be love) Let me tell you know My heart feels heavy, my feet feel light I shake all over, but I feel alright I never felt like this before Something’s got a hold on me that won’t let go I never thought it could happen to me Got me heavy without the misery I never thought it could be this way Love’s sure gonna put a hurting on me I said, oh, oh, oh, oh I said baby Oh, it must be love (you know it must be love) Yeah, he walks like love (you know he walks like love) He talks like love (you know he talks like love) Makes me feel alright (makes me feel alright) In the middle of the night (in the middle of the night) Na na la la (na na la la) Na na la la (na na la la) Ooh yeah yeah (oh oh oh) Yeah ooh yeah oh (oh oh oh) Hey, yeah yeah yeah, ah"
42,Doesn't Mean Anything,Alicia Keys,hip pop,2010,104,41,71,-7,10,10,273,4,3,57,"Used to dream of being a millionaire without a care But if I'm seeing my dreams and you aren't there Cause it's over, that just won't be fair, darling Rather be a poor woman living on the street, no food to eat Cause I don't want no pie if I have to cry Cause it's over when you said goodbye All at once, I had it all But it doesn't mean anything now that you're gone From above, seems I had it all But it doesn't mean anything since you're gone Now I see myself through different eyes, it's no surprise Being alone would make you realize When it's over, all in love is fair I should've been there, I should've been there, I should've should've All at once, I had it all But it doesn't mean anything now that you're gone From above, seems I had it all But it doesn't mean anything since you're gone I know I push you away What can I do that will say how I love? Take these material things They don't mean nothing It's you that I want All at once, I had it all But it doesn't mean anything now that you're gone From above, seems I had it all But it doesn't mean anything since you're gone (I should've been there, I should been there, I should've should've) All at once, I had it all But it doesn't mean anything now that you're gone From above, seems I had it all But it doesn't mean anything since you're gone"
43,Hard,Rihanna,barbadian pop,2010,182,75,31,-4,65,16,251,1,11,57,"Yeah, yeah, yeah (Yeah, yeah, yeah) Yeah, yeah, yeah (Ah yeah, yeah, yeah) Ah yeah, yeah, yeah (Ah yeah, yeah, yeah) Ah yeah, ah yeah, ah yeah, yeah Ah yeah, ah yeah, ah yeah, yeah  They can say whatever, I'mma do whatever No pain is forever, yup! You know this Tougher than a lion, ain't gon' need to try it I live where the sky ends, yup! You know this Never lying, truth-teller That Rihanna reign just won't let up All-black on, blacked-out shades, blacked-out Maybach I'mma rock this shit like fashion, as in going til they say stop And my, runway never looked so clear, but the hottest bitch in heels right here No fear, and while you're getting your cry on, I'm getting my fly on Sincere, I see you aiming at my pedestal, I better let you know That I, I, I, I'm so hard, yea, yea, yea, I'm so hard That I, I, I, I'm so hard, yea, yea, yea, I'm so hard That I, I, I, I'm so hard, yea, yea, yea, I'm so hard So hard, so hard, so hard, so hard Yea, yea, yea, (that Rihanna reign just don't let up) Yea, yea, yea, (that Rihanna reign just don't let up) Yea, yea, yea, (that Rihanna reign just don't let up) So hard, so hard, so hard, so hard All up on it, know you want to clone it Ain't like me, that chick too phony Ride this beat, beat, beat like a pony Meet me at the top, top, top, getting lonely Who think they test me now, run through your town I shut it down. Brilliant, resilient, fan mail from 27 million And I want it all, it's gonna take more than that Hope that ain't all you got, I need it all The money, the fame, the cars, the clothes I can't just let you run up on me like that, all on me like that Yeah, I see you aiming at my pedestal, so I think I gotta let you know That I, I, I, I'm so hard, yea, yea, yea, I'm so hard That I, I, I, I'm so hard, yea, yea, yea, I'm so hard That I, I, I, I'm so hard, yea, yea, yea, I'm so hard So hard, so hard, so hard, so hard Go hard or go home, back to your residence Soon as the Red Dogs give the block back to the presidents I used to run my whole block like Obama and them You ain't gotta believe me - go ask my momma and them Couldn't even come in my room, smelled like a kilo Look like me and two of my boys playing casino Count the style I keep in my bag, they can't afford it Tell 'em ""give me back my swag!"" - they trying to clone it See my Louis chucks, Louis flag, Louis frames, Louis belt What that make me, ""Louis Mane""? I'm in the all-white party wearing all black With my new black watch, call it the heart attack Cardiac arrest, Carti'ac a wrist Yeah, they say they hard, they ain't hard as this Hard: the one word describes me If I wasn't doing this, you know where I'd be Where them girls talking trash? Where them girls talking trash? Where they at? Where they at? Where they at? Where them bloggers at? Where them bloggers at? Where they at? Where they at? Where they at? Where your lighters at? Where your lighters at? Where they at? Where they at? Where they at? So hard, so hard, so hard, so hard That I, I, I, I'm so hard Ah yeah, yeah, yeah, I'm so hard That I, I, I, I'm so hard Ah yeah, yeah, yeah, I'm so hard That I, I, I, I'm so hard Ah yeah, yeah, yeah, I'm so hard So hard, so hard, so hard, so hard That I, I, I"
44,Loca,Shakira,colombian pop,2010,112,87,80,-4,9,85,193,19,7,56,"Loca Loca Dance or die Loca Loca She's playin' dumb all the time Just to keep it fun To get you on like ah! Be careful amigo She's talking and walking just to wake you up She'd die for your love But your love's only mine, boy Yo sigo tranquila Like I'm on a beach in Anguilla Sippin' my Corona Like it's nothin' goin' on I ain't leavin' you alone What is meant for me No other girl is gonna take it So give him up And I'm crazy, but you like it Loca, loca, loca You like that it ain't easy Loca, loca, loca I'm crazy but you like it Loca, loca, loca I'm crazy but you like it [Dizzee Rascal:] That girl is a naughta Hot girl, I heat up when I touch her Chica caliente Got me rapping to merengue I feel so el presidente I'm runnin' shit and I'm lovin' it She's got a mean lil' bopper You should see what she does with it She keeps it down low, down low, down low I can never get enough, oh, no, oh, no She gives me the runaround But I stay chasin' But I mean, yo, I'm in love With a crazy girl But it's all good And it's fine by me Just as long as I hear her say [Shakira:] ""Aye, papi"" And I'm crazy, but you like it Loca, loca, loca You like that it ain't easy Loca, loca, loca I'm crazy but you like it Loca, loca, loca I'm crazy but you like it You're the one for me And for her no more Though you think she got it all I got my kiki You're the one for me And for her no more Though you think she got it all I got my kiki Of course she doesn't know the things That I'd do to please you Take you to the medico por el caminito They saw your girlfriend looking for me with a rifle Cause we're dancin' Mambo Oh, what she don't allow it? I really can't help it If I make the lady loca I don't want no trouble I just wanna hit the—oh! And I'm crazy, but you like it 'Cause the kinda girl like me They're running out of in the market And I'm crazy, but you like it Loca, loca, loca You like that it ain't easy Loca, loca, loca I'm crazy but you like it Loca, loca, loca I'm crazy but you like it Dios mío That girl is loca That girl is loca That girl is loca Pure madness Loca That girl is loca That girl is loca You're the one for me And for her no more Now you think she's got it all I got my kiki And I'm crazy, but you like it Loca, loca, loca You like that it ain't easy Loca, loca, loca La loca, la loca, la loca, loca Loca, loca"
45,You Lost Me,Christina Aguilera,dance pop,2010,43,39,23,-6,14,7,257,85,4,56,"I am done, smoking gun We've lost it all, the love is gone She has won, now it's no fun We've lost it all, the love is gone And we had magic And this is tragic You couldn't keep your hands to yourself I feel like our world's been infected And somehow you left me neglected We've found our lives been changed Babe, you lost me And we tried, oh how we cried We lost ourselves, the love has died And though we tried you can't deny We're left as shells, we lost the fight And we had magic And this is tragic You couldn't keep your hands to yourself I feel like our world's been infected And somehow you left me neglected We've found our lives been changed Babe, you lost me Now I know you're sorry and we were sweet But you chose lust when you deceived me And you'll regret it, but it's too late How can I ever trust you again? I feel like our world's been infected And somehow you left me neglected We've found our lives been changed Babe, you lost me"
46,Not Myself Tonight,Christina Aguilera,dance pop,2010,120,81,76,-5,56,54,186,0,4,55,You know tonight I'm feeling a little out of control Is this me You wanna get crazy Cause I don't give a... I'm out of character I'm in rare form If you really knew me You'd know it's not the norm Cause I'm doing things that I normally won't do The old me's gone I feel brand new And if you don't like it fuck you The music's on and I'm dancing I'm normally in the corner just standing I'm feeling unusual I don't care cause this is my night I'm not myself tonight Tonight I'm not the same girl (same girl) I'm not myself tonight Tonight I'm not the same girl (same girl) I'm dancing a lot I'm taking shots And I'm feeling fine I'm kissing all the boys and girls Someone call the doctor cause I lost my mind Cause I'm doing things that I normally won't do The old me's gone I feel brand new And if you don't like it fuck you The music's on and I'm dancing I'm normally in the corner just standing I'm feeling unusual I don't care cause this is my night I'm not myself tonight Tonight I'm not the same girl (same girl) I'm not myself tonight Tonight I'm not the same girl (same girl) In the morning When I wake up I'll go back to the girl I used to be But baby Not tonight I'm not myself tonight Tonight I'm not the same girl (same girl) I'm not myself tonight Tonight I'm not the same girl (same girl) Yeah That feels good I needed that Yeah Get crazy Let's go That's right C'mon Give it to me now Don't stop Yeah
47,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91,95,64,-4,18,57,220,6,7,52,"Oh written in the stars A million miles away A message to the main Oh Seasons come and go But I will never change And I'm on my way Lets go... Yeah You're listening now They say they ain't heard nothing like this in a while That's why they play my song on so many different dials 'Cause I got more fucking hits than a disciplined child So when they see me everybody brrrrrap's, brrrrrraps Man I'm like a young gun fully black barrack I cried tear drops over the massive attack I only make hits like I work with a racket and bat Look at my jacket and hat So damn berserk So down to earth I'm bringing gravity back Adopted by the major I want my family back People work hard just to get all their salary taxed Look I'm just a writer from the ghetto like Malorie Blackman Where the hell's all the sanity at, damn I used to be the kid that no one cared about That's why you have to keep screaming 'til they hear you out Oh written in the stars A million miles away A message to the main Oh Seasons come and go But I will never change And I'm on my way Oh, oh, oh, oh... Oh, oh, oh, oh... Oh, oh, oh, oh... Oh, oh, oh, oh... Yeah, I needed a change When we ate we never tipped 'cause we needed the change I needed a break For a sec I even gave up believing and praying I even done illegal stuff and was leaded astray They say the money is the root to the evilest ways But have you ever been so hungry it keeps you awake Mate, now my hunger would leave them amazed Great, it feels like a long time coming, fam Since the day I thought of that cunning plan One day I had a dream I tried to chase it But I wasn't going nowhere, running man! I knew that maybe someday I would understand Trying change a tenner to a hundred grand Everyone's a kid that no one cares about You just gotta keep screaming until they hear you out Oh written in the stars A million miles away A message to the main Oh seasons come and go But I will never change (we won't change) And I'm on my way Oh, oh, oh, oh (Oh!) Oh, oh, oh, oh (Oh!) Oh, oh, oh, oh (Oh!) Oh, oh, oh, oh (Oh!) Oh, oh, oh, oh (Issie!) Oh, oh, oh, oh (Eric Turner!) Oh, oh, oh, oh (Let's go!) Oh seasons come and go But I will never change (we won't change) And I'm on my way"
48,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,8,65,221,3,11,52,"Usher Yeah man [Usher] So we back in the club With the bodies rocking from side to side (side to side) Thank God the week is done I feel like a zombie gone back to life (back to life) Hands up, and suddenly we all got our hands up No control of my body Ain't I seen you before? I think I remember those eyes, eyes, eyes, eyes, eyes, eyes 'Cause baby tonight, the DJ got us falling in love again Yeah, baby tonight, the DJ got us falling in love again So dance, dance, like it's the last, last night of your life, life Gonna get you right 'Cause baby tonight, the DJ got us falling in love again Keep downing drinks like there's no tomorrow There's just right now, now, now, now, now, now Gonna set the roof on fire Gonna burn this motherfucker down, down, down, down, down, down Hands up, when the music drops We both put our hands up Put your hands on my body Swear I seen you before I think I remember those eyes, eyes, eyes, eyes, eyes, eyes 'Cause baby tonight, the DJ got us falling in love again Yeah, baby tonight, the DJ got us falling in love again So dance, dance, like it's the last, last night of your life, life Gonna get you right 'Cause baby tonight, the DJ got us falling in love again [Pitbull] Usher, don't lie Hear no evil, or speak no evil, or see no evil Get it, baby, hope you catch it like T.O., That's how we roll My life is a movie, and you just tivo Honey got me swishin' like a dreadlock She won't wrestle, but I got her in a headlock Yabba dabba doo, make her bed rock Mami on fire, psh, red hot Bada bing, bada boom Mr. Worldwide as I step in the room I'm a hustler, baby, but that you knew And tonight it's just me and you, dale 'Cause baby tonight, the DJ got us falling in love again Mr. Worldwide, heh, let's take over the world Yeah, baby tonight, the DJ got us falling in love—dale, let go—falling in love So dance, dance, like it's the last, last night of your life, life Gonna get you right (Come on, come on) 'Cause baby tonight, the DJ got us falling in love again Yeah, baby tonight, the DJ got us falling in love again (Put your hands up, put your hands up) So dance, dance, like it's the last, last night of your life, life Gonna get you right 'Cause baby tonight, the DJ got us falling in love again Yeah, thank you DJ"
49,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80,86,45,-5,26,58,329,7,39,49,"Everyone thinks that I have it all But it's so empty living behind these castle walls These castle walls If I should tumble if I should fall Would any one hear me screaming behind these castle walls There's no-one here at all, behind these castle walls [T.I.:] Observing the estate through the gate from the outside looking in Bet you would think I got it made, better look again I got a butler, got a maid, and a mansion The belief is that I'm living out a millionaire's fantasy With Phantoms and Ferrari's in the driveway But you see it came in exchange of a sane man's sanity Your vision jaded by the Grammys on the mantelpiece Just switch your camera lenses you would see the agony Apparently it's damaging the man you see before you On the canvas he may seem alright but all the disadvantages his family Encounters overshadows his extravagance Walk in my nines awhile I dare you, it'll scare you While it surely seem like the king's life ain't glamorous As seen through the eyes of untrained amateurs Because the camera doesn't see beyond the walls of the smiles Only counts until it falls in the pile [Christina Aguilera:] Everyone thinks that I have it all But it's so empty living behind these castle walls These castle walls If I should tumble if I should fall Would any one hear me screaming behind these castle walls There's no-one here at all, behind these castle walls [T.I.:] Honestly to me, I think I'd lose every benefit of all that I've accomplished If my kids never win at shit Me knowing this, why should the verses I have laid Be more important to me than the persons I have raised I guess I'm saying that to say that opportunity But they just don't equate to all the time they take away From the kids all the shit I did right is a mistake If deyjah end up a stripper and major slinging yay How could I ever consider myself a great If Messiah ain't paid and Nique Nique ain't straight Would your favorite song about the whips, money and shit Be relevant if you found out, the money wasn't rich, nope So me being the G.O.A.T. shouldn't mean more to me Than see it to a king though From a badass kid to a man with some dough Otherwise I may as well have stayed poor So while they stay focused on me beefing with Flip, Shawty Lo, Gucci or Ludacris Or if I'm fucking with a hoe Did I snitch when I got arrested or will I die over nonsense Internally I'm dealing with this conflict So excuse me if I don't get the chance to kiss the hand That slapp me in the face, ay I'm just a man If they saying I ain't the best at making hit records It's 'cause this my life these ain't just rapping Bet you ain't think it was that deep, did ya dawg See you can't see the castle through the walls 'til it falls Bet you ain't thinking it was that deep, did ya dawg 'Cause see you can't see the castle through the walls 'til it falls [Christina Aguilera:] Everyone thinks that I have it all But it's so empty living behind these castle walls These castle walls If I should tumble if I should fall Would any one hear me screaming behind these castle walls There's no-one here at all, behind these castle walls Nobody knows I'm all alone Living in this castle made of stone They say that money is freedom but I feel trapped inside it all And while I sit so high up on a throne I wonder how I can feel this low On top of the world it's beautiful But there's no place to fall [T.I.:] For the record ay, I give a damn if I never said shit again My career was meant for me to come and tell it Honest interpretation of how affected I'm faced with Matters most rappers choose to keep locked away in the basement But the day that I walk away I ain't saying that I'm amazing Down playing the way I kept fellas from catching cases Won't take into consideration how much it mean what I'm saying And when I say what I mean even when I'm surrounded by the fakest From one of the greatest sinners blessed with most of God's graces Who made his way amongst the greatest from the grimiest places So next time you rating royalty, I'm always being given to recordings than the level Of your loyalty, obvious you've been ignoring me Who else you seen make it through the storm, unharmed disjointed While all the critics was looking for Prince Charming Disregarded the king of the south and raised doubt Even though he made a castle out of what used to be a house He did shit that all your favorites rappers only rap about But most of y'all don't see the castle through the walls And the smiles 'til it falls in piles so while... [Christina Aguilera:] Everyone thinks that I have it all But it's so empty living behind these castle walls These castle walls If I should tumble if I should fall Would any one hear me screaming behind these castle walls There's no-one here at all, behind these castle walls"
50,Break Your Heart,Taio Cruz,dance pop,2010,122,90,67,-5,8,63,186,0,3,33,"Now listen to me, baby, Before I love and leave you. They call me heart breaker. I don't wanna deceive you. If you fall for me, I'm not easy to please. I might tear you apart. Told you from the start. Baby, from the start. I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart. There's no point tryna hide it. No point tryna evade it. I know I got a problem. Problem with misbehaving. If you fall for me, I'm not easy to please. I might tear you apart. Told you from the start. Baby, from the start. I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart. And I know karma's gonna get me back for being so cold. Like a big bad wolf I'm born to be bad and bad to the bone. If you fall for me I'm only gonna tear you apart. Told ya from the start. I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart. I'm only gonna break, break your, break, break your heart."
51,Hello,Martin Solveig,big room,2010,128,98,67,-3,10,45,191,1,3,0,I could stick around and get along with you Hello It doesn't really mean that I'm into you Hello You're alright but I'm here darling to enjoy the party Don't get too excited 'cus that's all you get from me Hey Yeah I think you're cute but really you should know I just came to say hello Hello Hello Hello I'm not the kinda girl who'd get messed up with you Hello Imma let you try to convince me to Hello It's alright I'm getting dizzy just enjoy the party It's ok with me if you don't have that much to say Hey Kinda like this thing but there's something you should know I just came to say hello Hello Hey Hey I could stick around and get along with you Hello It doesn't really mean that I'm into you Hello (I'm here darling to enjoy the party) I just came to say hello Hello Hello Hello I'm not the kinda girl who'd get messed up with you Hello Imma let you try to convince me to Hello It's alright I'm getting dizzy just enjoy the party It's ok with me if you don't have that much to say Hey Kinda like this thing but there's something you should know I just came to say hello Hey
52,A Thousand Years,Christina Perri,dance pop,2011,139,41,42,-7,11,16,285,31,3,81,"Heart beats fast Colours and promises How to be brave? How can I love when I'm afraid to fall? But watching you stand alone All of my doubt Suddenly goes away somehow One step closer I have died every day waiting for you Darling, don't be afraid I have loved you for a thousand years I'll love you for a thousand more Time stands still Beauty in all she is I will be brave I will not let anything take away What's standing in front of me Every breath Every hour has come to this One step closer I have died every day waiting for you Darling, don't be afraid I have loved you for a thousand years I'll love you for a thousand more And all along I believed I would find you Time has brought your heart to me I have loved you for a thousand years I'll love you for a thousand more One step closer One step closer I have died every day waiting for you Darling, don't be afraid I have loved you for a thousand years I'll love you for a thousand more And all along I believed I would find you Time has brought your heart to me I have loved you for a thousand years I'll love you for a thousand more"
53,Someone Like You,Adele,british soul,2011,135,33,56,-8,10,28,285,89,3,80,"I heard that you're settled down That you found a girl and you're married now. I heard that your dreams came true. Guess she gave you things I didn't give to you. Old friend, why are you so shy? Ain't like you to hold back or hide from the light. I hate to turn up out of the blue uninvited But I couldn't stay away, I couldn't fight it. I had hoped you'd see my face and that you'd be reminded That for me it isn't over. Never mind, I'll find someone like you I wish nothing but the best for you too Don't forget me, I beg I'll remember you said, ""Sometimes it lasts in love but sometimes it hurts instead, Sometimes it lasts in love but sometimes it hurts instead"" You know how the time flies Only yesterday was the time of our lives We were born and raised In a summer haze Bound by the surprise of our glory days I hate to turn up out of the blue uninvited But I couldn't stay away, I couldn't fight it. I'd hoped you'd see my face and that you'd be reminded That for me it isn't over. Never mind, I'll find someone like you I wish nothing but the best for you too Don't forget me, I beg I'll remember you said, ""Sometimes it lasts in love but sometimes it hurts instead."" Nothing compares No worries or cares Regrets and mistakes They are memories made. Who would have known how bittersweet this would taste? Never mind, I'll find someone like you I wish nothing but the best for you Don't forget me, I beg I'll remember you said, ""Sometimes it lasts in love but sometimes it hurts instead"". Never mind, I'll find someone like you I wish nothing but the best for you too Don't forget me, I beg I'll remember you said, ""Sometimes it lasts in love but sometimes it hurts instead, Sometimes it lasts in love but sometimes it hurts instead."""
54,Give Me Everything,Pitbull,dance pop,2011,129,94,67,-3,30,53,252,19,16,79,"Me not working hard? Yeah, right! Picture that with a Kodak Or, better yet, go to Times Square Take a picture of me with a Kodak Took my life from negative to positive I just want y'all know that And tonight, let's enjoy life Pitbull, Nayer, Ne-Yo That's right [Chorus:] [Ne-Yo] Tonight I want all of you tonight Give me everything tonight For all we know we might not get tomorrow Let's do it tonight [Nayer] Don't care what they say Or what games they play Nothing is enough 'Til I have your love [Ne-Yo] Let's do it tonight [Nayer] I want you tonight, I want you to stay I want you tonight [Ne-Yo] Grab somebody sexy, tell 'em hey Give me everything tonight Give me everything tonight Give me everything tonight Give me everything tonight [Verse 1 — Pitbull:] Take advantage of tonight Cause tomorrow I'm off to Dubai to perform for a princess But tonight, I can make you my queen And make love to you endless This is insane: the way the name growin' Money keep flowin' Hustlers move aside So, I'm tiptoein', to keep flowin' I got it locked up like Lindsay Lohan Put it on my life, baby, I make you feel right, baby Can't promise tomorrow But, I promise tonight Dalé [Pre-Chorus — Pitbull:] Excuse me (excuse me) And I might drink a little more than I should tonight And I might take you home with me, if I could tonight And, baby, Ima make you feel so good, tonight Cause we might not get tomorrow [Chorus:] [Ne-Yo] Tonight I want all of you tonight Give me everything tonight For all we know we might not get tomorrow Let's do it tonight [Nayer] Don't care what they say Or what games they play Nothing is enough 'Til I have your love [Ne-Yo] Let's do it tonight [Nayer] I want you tonight, I want you to stay I want you tonight [Ne-Yo] Grab somebody sexy, tell 'em hey Give me everything tonight Give me everything tonight Give me everything tonight Give me everything tonight [Verse 2 — Pitbull:] Reach for the stars And if you don't grab 'em, At least you'll fall on top of the world Think about it Cause if you slip, I'm gon' fall on top yo girl (hahaa) What I'm involved with Is deeper than the masons Baby, baby, and it ain't no secret My family's from Cuba But I'm an American Idol Get money like Seacrest Put it on my life, baby I make you feel right, baby Can't promise tomorrow But, I promise tonight Dalé [Pre-Chorus — Pitbull:] Excuse me (excuse me) And I might drink a little more than I should tonight And I might take you home with me if I could tonight And baby Ima make you feel so good tonight Cause we might not get tomorrow [Chorus:] [Ne-Yo] Tonight I want all of you tonight Give me everything tonight For all we know, we might not get tomorrow Let's do it tonight [Nayer] Don't care what they say Or what games they play Nothing is enough 'Til I have your love [Ne-Yo] Let's do it tonight [Nayer] I want you tonight, I want you to stay I want you tonight [Ne-Yo] Grab somebody sexy, tell 'em hey Give me everything tonight Give me everything tonight Give me everything tonight Give me everything tonight [Outro — Pitbull:] Excuse me (excuse me) And I might drink a little more than I should tonight And I might take you home with me if I could tonight And baby Ima make you feel so good tonight Cause we might not get tomorrow"
